thalamusproper_L,caudate_L,putamen_L,pallidum_L,brainstem,hyppocampus_L,amygdala_L,accumbensarea_L,ventral_DC_L,thalamusproper_R,caudate_R,putamen_R,pallidum_R,hyppocampus_R,amygdala_R,accumbensarea_R,ventral_DC_R,bankssts_L,caudalanteriorcingulate_L,caudalmiddlefrontal_L,cuneus_L,entorhinal_L,fusiform_L,inferiorparietal_L,inferiortemporal_L,isthmuscingulate_L,lateraloccipital_L,lateralorbitofrontal_L,lingual_L,medialorbitofrontal_L,middletemporal_L,parahippocampal_L,paracentral_L,parsopercularis_L,parsorbitalis_L,parstriangularis_L,pericalcarine_L,postcentral_L,posteriorcingulate_L,precentral_L,precuneus_L,rostralanteriorcingulate_L,rostralmiddlefrontal_L,superiorfrontal_L,superiorparietal_L,superiortemporal_L,supramarginal_L,frontalpole_L,temporalpole_L,transversetemporal_L,insula_L,bankssts_R,caudalanteriorcingulate_R,caudalmiddlefrontal_R,cuneus_R,entorhinal_R,fusiform_R,inferiorparietal_R,inferiortemporal_R,isthmuscingulate_R,lateraloccipital_R,lateralorbitofrontal_R,lingual_R,medialorbitofrontal_R,middletemporal_R,parahippocampal_R,paracentral_R,parsopercularis_R,parsorbitalis_R,parstriangularis_R,pericalcarine_R,postcentral_R,posteriorcingulate_R,precentral_R,precuneus_R,rostralanteriorcingulate_R,rostralmiddlefrontal_R,superiorfrontal_R,superiorparietal_R,superiortemporal_R,supramarginal_R,frontalpole_R,temporalpole_R,transversetemporal_R,insula_R
0,0,0,0,0,0,0.000432526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647,0.0116782007,0,0.0185986159,0,0,0,0,0,0,0,0.1933391003,0,0,0,0.1020761246,0,0,0,0.0142733564,0,0,0,0,0,0,0,0,0,0.0012975779,0,0,0,0,0.0012975779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038927336,0,0,0,0.0008650519,0,0,0,0,0,0
0.0056228374,0,0.0012975779,0,0,0.0523356401,0.0056228374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647,0,0.0025951557,0.0337370242,0,0.0017301038,0.0034602076,0,0.000432526,0.0099480969,0,0,0,0,0,0,0,0,0.0147058824,0,0,0,0,0.0099480969,0,0,0,0,0.0008650519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0030276817,0.0051903114,0.0618512111,0,0,0.0324394464,0.0008650519,0,0.0069204152,0.0103806228,0,0.0012975779,0.0038927336,0,0,0.000432526,0,0,0,0.0289792388,0,0.0294117647,0,0,0.1310553633,0.008650519,0.0523356401,0,0.0160034602,0,0.0185986159,0.009083045,0,0,0,0,0,0,0,0,0,0,0,0.000432526,0.000432526,0.0095155709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012975779,0,0,0,0,0,0,0,0,0,0
0,0,0.0341695502,0,0,0.0069204152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302768166,0,0,0,0,0,0,0.0769896194,0,0,0,0.1224048443,0,0,0,0,0,0.000432526,0,0,0,0,0,0,0.000432526,0.1933391003,0.0367647059,0.0475778547,0,0,0,0.0060553633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0095155709,0.0082179931,0.0038927336,0,0,0.0298442907,0.0017301038,0,0.000432526,0.0056228374,0,0.000432526,0.0047577855,0,0.000432526,0,0,0,0,0.0389273356,0,0.0025951557,0.1310553633,0,0,0,0.0064878893,0,0,0,0.1038062284,0.0008650519,0,0,0,0,0,0,0,0.000432526,0,0,0.0108131488,0.0151384083,0,0.0134083045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017301038,0,0,0,0,0,0,0,0,0,0
0.0012975779,0,0,0,0,0.0116782007,0,0,0,0,0,0,0,0,0,0,0,0,0.0679065744,0,0.0294117647,0.0337370242,0.008650519,0,0,0,0.0021626298,0,0.026384083,0,0,0.0233564014,0,0,0,0,0.0480103806,0,0.0553633218,0,0.0484429066,0.0523356401,0,0,0.0454152249,0,0,0,0,0,0,0,0.0012975779,0,0,0,0,0,0,0.0030276817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000432526,0,0,0,0,0,0,0,0,0,0
0,0,0.0493079585,0,0,0.0272491349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116782007,0,0.0523356401,0.0769896194,0.0064878893,0.0021626298,0,0,0.0423875433,0,0.0224913495,0,0,0,0,0,0.0644463668,0,0,0,0,0,0,0,0.0142733564,0.0216262976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034602076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017301038,0,0,0,0,0,0,0,0,0,0
0.0017301038,0.0644463668,0.0346020761,0,0,0,0,0.0077854671,0.009083045,0,0,0,0,0,0,0,0,0,0,0,0,0.0017301038,0,0,0,0,0,0,0,0.0497404844,0.0103806228,0,0,0,0.0333044983,0,0,0,0,0,0,0.000432526,0.0281141869,0.0220588235,0,0.0142733564,0,0,0,0,0.0333044983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0038927336,0.0038927336,0,0,0.0506055363,0,0,0.0012975779,0,0,0,0,0,0,0,0,0,0,0,0.0185986159,0.0034602076,0.0160034602,0,0,0.026384083,0.0423875433,0,0,0,0.0229238754,0.0129757785,0,0,0,0,0.1267301038,0,0,0,0.0393598616,0,0,0,0.0008650519,0.0043252595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012975779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060553633,0,0,0,0,0,0,0,0,0,0
0.0008650519,0.1842560554,0.0220588235,0,0,0,0,0.0397923875,0.0021626298,0,0.0692041522,0,0,0,0,0.0047577855,0,0,0.008650519,0,0,0,0,0,0,0,0,0.0497404844,0,0,0.0008650519,0,0,0,0,0,0,0,0,0,0,0.0194636678,0.000432526,0.0635813149,0,0,0,0,0,0,0.0012975779,0,0,0,0,0,0,0,0,0,0,0.1094290657,0,0.0739619377,0,0,0,0,0.000432526,0,0,0,0,0,0,0.0047577855,0.000432526,0.071366782,0,0,0,0,0,0,0
0,0.0077854671,0.01816609,0,0,0.0147058824,0.0012975779,0.0012975779,0.0021626298,0,0,0,0,0,0,0,0,0,0,0.0289792388,0,0.000432526,0.0185986159,0.1224048443,0.1038062284,0,0.0224913495,0.0103806228,0.0229238754,0.0008650519,0,0.000432526,0,0,0,0,0,0,0,0,0.0099480969,0,0.0012975779,0.0151384083,0,0.1682525952,0.0030276817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0250865052,0,0,0,0,0,0,0,0,0,0,0,0,0.017733564,0,0,0.0099480969,0.009083045,0,0.0008650519,0.0233564014,0,0,0.0129757785,0,0.000432526,0,0,0,0,0,0,0,0.0060553633,0,0.0038927336,0,0,0,0,0,0,0,0,0,0,0,0.0008650519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0064878893,0.0008650519,0,0,0.0012975779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562283737,0.1730103806,0.0406574394,0.0527681661,0,0,0.0012975779,0.0038927336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3737024221,0,0,0,0,0,0.1137543253,0,0.017733564,0,0,0,0,0,0,0,0,0,0
0,0.3589965398,0.0082179931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124567474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009083045,0,0.017733564,0,0.0415224913,0,0,0.0073529412,0.0021626298,0,0.000432526,0.0134083045,0,0,0.0012975779,0.0185986159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333044983,0,0,0,0,0,0,0,0.017733564,0,0,0,0,0,0,0.0043252595,0,0,0,0,0,0,0,0.0294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000432526,0.0683391003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009083045,0.017733564,0,0,0.009083045,0,0.0012975779,0,0,0.115916955,0,0,0.0030276817,0.01816609,0,0,0.0207612457,0.044550173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1933391003,0,0,0.000432526,0,0.0480103806,0.0644463668,0,0.1267301038,0,0,0,0,0,0,0,0,0,0,0,0.0320069204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051903114,0,0,0.0017301038,0,0,0,0,0,0,0,0,0,0,0,0.0030276817,0,0,0,0,0,0,0,0,0,0
0.0060553633,0,0.0034602076,0,0.1081314879,0.0224913495,0,0,0.2097750865,0,0,0,0,0,0,0,0,0,0,0.0025951557,0,0,0,0,0,0,0,0,0,0,0,0,0.0562283737,0.017733564,0,0.009083045,0,0,0.0661764706,0.1812283737,0.0073529412,0,0,0,0.0419550173,0.0008650519,0.0821799308,0,0,0,0.0190311419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1185121107,0,0,0,0,0,0.0082179931,0,0.3183391003,0,0,0,0.000432526,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026384083,0,0,0,0,0,0,0.0553633218,0,0,0,0,0,0.0060553633,0.1730103806,0,0,0,0,0.0661764706,0,0,0.0609861592,0.0025951557,0,0.0038927336,0.0008650519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017301038,0,0,0,0,0,0.0069204152,0,0,0,0,0.0012975779,0,0,0,0,0,0,0
0,0.7417820069,0.0017301038,0.01816609,0.0151384083,0.0021626298,0.0047577855,0,0.0242214533,0,0,0,0,0,0,0,0,0,0,0.0778546713,0,0,0,0,0.000432526,0,0,0,0,0,0,0,0.0406574394,0.0415224913,0,0.0012975779,0,0.1812283737,0,0,0,0,0.0160034602,0.0211937716,0.01816609,0,0.0462802768,0,0,0,0.0497404844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0155709343,0.0160034602,0,0,0,0.0056228374,0,0,0,0,0,0,0
0,0,0,0,0,0.0099480969,0,0,0,0,0,0,0,0,0,0,0,0,0.0255190311,0,0.1020761246,0.0147058824,0,0,0,0.0484429066,0,0,0.0393598616,0,0.0099480969,0.0038927336,0.0527681661,0,0,0,0.0320069204,0.0073529412,0.0609861592,0,0,0,0,0.000432526,0.115916955,0,0,0,0,0,0,0,0.000432526,0,0,0,0,0,0.0030276817,0.0129757785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017301038,0,0,0.000432526,0,0,0,0,0,0,0
0.0030276817,0,0,0.0030276817,0.0060553633,0,0,0.0121107266,0.0155709343,0,0,0,0,0,0,0.000432526,0,0,0.0384948097,0,0,0,0,0,0,0.0523356401,0,0.000432526,0,0.0194636678,0,0,0,0,0,0,0,0,0.0025951557,0,0,0,0,0.0423875433,0,0.0069204152,0,0,0,0,0.0047577855,0,0.0012975779,0,0,0,0,0,0,0,0,0.0043252595,0,0.0012975779,0,0,0,0,0,0,0,0,0,0,0,0.0025951557,0,0.0112456747,0,0,0,0,0,0,0
0.0185986159,0.1453287197,0.0125432526,0,0,0,0,0,0.0173010381,0,0,0,0,0,0,0,0.0008650519,0,0,0.1176470588,0,0,0,0,0.0108131488,0,0,0.0281141869,0,0.000432526,0.0012975779,0,0,0.0073529412,0.0043252595,0.115916955,0,0,0,0.0160034602,0,0,0,0.2253460208,0,0.0380622837,0.0099480969,0,0,0.0134083045,0.0112456747,0,0,0.1033737024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025951557,0.0259515571,0,0,0,0,0,0,0
0.026384083,0.2339965398,0.0276816609,0.0185986159,0.0333044983,0,0,0,0.0021626298,0,0.0025951557,0,0,0,0,0,0,0,0.0419550173,0.0886678201,0,0,0.000432526,0.000432526,0.0151384083,0,0,0.0220588235,0,0.0635813149,0.0151384083,0,0.0012975779,0.0021626298,0,0,0,0,0.0038927336,0.0211937716,0.000432526,0.0423875433,0.2253460208,0,0.0095155709,0.0142733564,0,0,0,0,0.0155709343,0,0,0.1613321799,0,0,0,0,0,0,0,0,0,0,0,0,0.321799308,0,0,0,0,0,0.0203287197,0,0,0.0008650519,0.0670415225,0.7828719723,0,0,0,0,0,0,0
0.0289792388,0,0.0458477509,0,0.0043252595,0.0298442907,0.0121107266,0,0.0371972318,0,0,0,0,0,0,0,0,0,0,0.0034602076,0.0142733564,0,0.000432526,0.1933391003,0,0.0454152249,0.0142733564,0,0.0008650519,0,0,0,0.0038927336,0,0,0,0,0.0419550173,0.0008650519,0.01816609,0.115916955,0,0,0.0095155709,0,0.0129757785,0.1890138408,0,0,0.0095155709,0.0060553633,0,0,0,0,0,0,0,0,0.0423875433,0,0,0,0,0,0,0.0077854671,0,0,0,0,0.000432526,0,0,0.1790657439,0,0,0,0.0008650519,0,0,0,0,0,0
